user_id,book_id,rating
1,1,5
2,2,4
2,3,5
2,5,5
2,4,4
2,26,4
2,16,5
2,33,4
2,30,5
2,15,5
2,18,5
2,19,5
4,70,4
4,47,3
4,59,4
4,18,5
4,27,5
4,21,5
4,2,5
4,23,5
4,24,5
4,64,4
4,3,5
4,98,4
4,35,5
5,26,3
4,37,4
6,26,3
4,84,4
4,58,4
4,31,4
4,28,2
4,5,4
4,15,4
4,8,4
4,72,4
4,65,4
4,97,4
4,45,4
4,99,5
4,14,4
4,25,5
4,26,3
6,55,4
7,27,5
9,33,3
7,9,4
7,20,5
7,95,4
7,14,4
7,22,5
7,91,5
7,94,4
7,14,5
7,58,5
7,55,5
7,77,4
7,77,5
7,47,3
7,43,5
7,32,5
7,26,3
8,29,5
8,54,5
4,37,5
4,30,5
4,36,5
4,12,5
4,22,4
4,20,4
4,13,4
4,33,3
4,69,5
4,56,4
4,55,4
1,28,3
1,34,4
1,47,3
1,96,5
1,33,3
1,48,4
7,33,3
4,50,4
4,87,5
4,86,4
4,23,4
4,32,4
4,29,5
4,34,5
4,42,5
4,49,4
4,24,4
4,73,4
4,18,4
4,47,4
4,12,4
4,92,4
4,21,4