user_id,book_id
9,1
15,2
15,3
37,4
34,5
34,6
34,7
34,8
70,9
76,10
94,11
29,12
29,13
29,14
29,15
29,16
105,17
113,18
113,19
29,20
29,21
116,2
116,23
124,24
124,25
94,26
94,27
94,28
137,29
94,30
94,31
94,32
124,33
29,34
29,35
142,36
124,37
149,38
149,39
149,40
149,41
149,42
149,43
149,44
149,45
149,46
149,47
149,48
149,49
149,50
149,51
124,52
124,53
167,54
167,55
167,56
167,57
175,58
175,59
185,60
185,61
185,62
185,63
137,64
184,65
112,66
112,67
112,68
112,69
10,70
207,71
210,72
194,73
194,75
194,76
194,77
194,78
219,79
228,80
185,81
212,82
229,83
137,84
116,85
179,86
116,87
116,88
116,89
116,90
116,91
116,92
116,93
116,94
116,95
116,96
116,97
116,98
242,99